pins,frequency,level
1234,255,easy
1111,244,easy
0,221,easy
1212,212,easy
7777,203,easy
1004,199,easy
2000,199,easy
4444,196,easy
2222,195,easy
6969,195,easy
9999,192,easy
3333,191,easy
5555,190,easy
6666,190,easy
1122,188,easy
1313,185,easy
8888,185,easy
2001,184,easy
4321,184,easy
1010,183,easy
909,181,easy
2580,180,easy
7,179,easy
1818,178,easy
1230,177,easy
1984,175,easy
1986,175,easy
70,174,easy
1985,174,easy
987,173,easy
1000,173,easy
1231,173,easy
1987,173,easy
1999,173,easy
2468,173,easy
2002,172,easy
2323,172,easy
123,171,easy
1123,170,easy
1233,170,easy
1357,170,easy
1221,169,easy
1324,169,easy
1988,169,easy
2112,169,easy
2121,169,easy
5150,169,easy
1024,168,easy
1112,168,easy
1224,168,easy
1969,168,easy
1225,167,easy
1235,167,easy
1982,167,easy
1983,167,easy
1001,166,easy
1978,166,easy
1979,166,easy
7410,166,easy
1020,165,easy
1223,165,easy
1974,164,easy
1975,164,easy
1977,164,easy
1980,164,easy
1981,164,easy
1029,163,easy
1121,163,easy
1213,163,easy
1973,163,easy
1976,163,easy
2020,163,easy
2345,163,easy
2424,163,easy
2525,163,easy
1515,162,easy
1970,162,easy
1972,162,easy
1989,162,easy
1,161,easy
1023,161,easy
1414,161,easy
9876,161,easy
101,160,easy
907,160,easy
1245,160,easy
1966,160,easy
1967,160,easy
1971,160,easy
8520,160,easy
1964,159,easy
1968,159,easy
4545,159,easy
1318,158,easy
5678,158,easy
1011,157,easy
1124,157,easy
1211,157,easy
1963,157,easy
4200,157,easy
4567,157,easy
1007,156,easy
1012,156,easy
1025,156,easy
1120,156,easy
1125,156,easy
1214,156,easy
1236,156,easy
1965,156,easy
7942,156,easy
1028,155,easy
1209,155,easy
1227,155,easy
3535,155,easy
7890,155,easy
420,154,easy
1210,154,easy
1222,154,easy
1701,154,easy
1919,154,easy
5425,154,easy
1113,153,easy
1226,153,easy
1717,153,easy
1957,153,easy
1959,153,easy
1990,153,easy
5252,153,easy
202,152,easy
1002,152,easy
1003,152,easy
1114,152,easy
1205,152,easy
1215,152,easy
1220,152,easy
1228,152,easy
1956,152,easy
1962,152,easy
3232,152,easy
124,151,easy
303,151,easy
505,151,easy
815,151,easy
1013,151,easy
1014,151,easy
1021,151,easy
1022,151,easy
1027,151,easy
1030,151,easy
1101,151,easy
1128,151,easy
1133,151,easy
1945,151,easy
1955,151,easy
1960,151,easy
3030,151,easy
3210,151,easy
5050,151,easy
9090,151,easy
77,150,easy
1092,150,easy
1126,150,easy
1130,150,easy
1204,150,easy
1005,149,easy
1009,149,easy
1031,149,easy
1104,149,easy
1115,149,easy
1117,149,easy
1119,149,easy
1127,149,easy
1203,149,easy
1217,149,easy
1218,149,easy
1379,149,easy
1958,149,easy
3434,149,easy
5656,149,easy
7878,149,easy
411,148,moderate
1017,148,moderate
1018,148,moderate
1019,148,moderate
1026,148,moderate
1103,148,moderate
1129,148,moderate
1216,148,moderate
1229,148,moderate
1961,148,moderate
1991,148,moderate
2626,148,moderate
6789,148,moderate
8282,148,moderate
9111,148,moderate
321,147,moderate
808,147,moderate
1008,147,moderate
1015,147,moderate
1102,147,moderate
1118,147,moderate
1201,147,moderate
1202,147,moderate
1232,147,moderate
2727,147,moderate
